Birim Adı;İnternet Adresi;HTTPS Var mı?;SSL Geçerli mi?;Sertifika Başlangıç;Sertifika Bitiş;Strict-Transport-Security;Content-Security-Policy;X-Frame-Options;X-Content-Type-Options;Referrer-Policy;A02 - Cryptographic Failure;A05 - Security Misconfiguration;A08 - Software/Data Integrity Failure;Güvenlik Skoru (0-5);Toplam HTML Tag Sayısı
AVRASYA ÜNİVERSİTESİ;www.avrasya.edu.tr;True;True;2025-01-31 00:00:00;2026-01-01 23:59:59;False;False;False;False;False;False;True;True;0;1323
AYDIN ADNAN MENDERES ÜNİVERSİTESİ;http://www.adu.edu.tr;True;True;2025-01-03 00:00:00;2026-02-03 23:59:59;False;False;False;False;False;False;True;True;0;1096
BAHÇEŞEHİR ÜNİVERSİTESİ;http://www.bahcesehir.edu.tr;True;True;2024-12-24 14:09:25;2026-01-25 14:09:24;True;False;True;True;False;False;False;True;3;935
BALIKESİR ÜNİVERSİTESİ;http://www.balikesir.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;0
BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ;http://www.bandirma.edu.tr;True;True;2024-11-25 00:00:00;2025-11-25 23:59:59;False;False;True;False;False;False;True;True;1;1676
BARTIN ÜNİVERSİTESİ;http://www.bartin.edu.tr/;True;True;2024-09-05 00:00:00;2025-10-06 23:59:59;False;False;True;False;False;False;True;True;1;1059
BAŞKENT ÜNİVERSİTESİ;http://www.baskent.edu.tr;True;True;2025-03-26 00:00:00;2026-04-03 23:59:59;False;False;True;True;True;False;False;True;3;996
BATMAN ÜNİVERSİTESİ;http://www.batman.edu.tr;True;True;2025-01-06 00:00:00;2025-12-03 23:59:59;True;False;False;False;True;False;True;True;2;1928
BAYBURT ÜNİVERSİTESİ;https://bayburt.edu.tr;True;True;2024-07-18 00:00:00;2025-07-26 23:59:59;False;False;False;False;False;False;True;True;0;1242
BEYKOZ ÜNİVERSİTESİ;www.beykoz.edu.tr;True;True;2024-08-05 00:00:00;2025-08-05 23:59:59;True;False;True;True;False;False;False;True;3;753
BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ;http://www.bezmialem.edu.tr/;False;False;;;False;False;False;False;False;True;True;True;0;0
BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ;http://www.bilecik.edu.tr/;True;True;2024-05-30 13:47:04;2025-05-30 13:47:04;True;False;False;False;False;False;True;True;1;1455
BİNGÖL ÜNİVERSİTESİ;http://www.bingol.edu.tr;True;True;2024-12-03 00:00:00;2025-12-03 23:59:59;False;False;False;False;False;False;True;True;0;923
BİRUNİ ÜNİVERSİTESİ;http://www.biruni.edu.tr/;True;True;2024-11-04 00:00:00;2025-12-05 23:59:59;False;False;True;False;False;False;True;True;1;8707
BİTLİS EREN ÜNİVERSİTESİ;www.beu.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;0
BOĞAZİÇİ ÜNİVERSİTESİ;https://www.bogazici.edu.tr;True;True;2024-08-13 00:00:00;2025-08-13 23:59:59;False;False;False;False;False;False;True;True;0;2168
BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ;http://www.ibu.edu.tr/;True;True;2025-05-14 00:00:00;2026-03-09 23:59:59;False;False;False;False;False;False;True;True;0;1625
BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ;http://www.mehmetakif.edu.tr;True;True;2024-09-03 00:00:00;2025-08-22 23:59:59;False;False;False;False;False;False;True;True;0;214
BURSA TEKNİK ÜNİVERSİTESİ;http://btu.edu.tr/;True;True;2024-12-20 11:34:11;2026-01-21 11:34:10;False;False;False;False;False;False;True;True;0;1279
BURSA ULUDAĞ ÜNİVERSİTESİ;http://www.uludag.edu.tr/;True;True;2024-08-13 00:00:00;2025-09-04 23:59:59;True;False;False;False;False;False;True;True;1;1253
ÇAĞ ÜNİVERSİTESİ;http://www.cag.edu.tr/;True;True;2025-05-06 23:49:49;2025-08-04 23:49:48;False;False;False;False;False;False;True;True;0;1589
ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ;www.comu.edu.tr;True;True;2024-09-30 00:00:00;2025-10-31 23:59:59;True;False;True;True;True;False;False;True;4;1646
ÇANKAYA ÜNİVERSİTESİ;http://www.cankaya.edu.tr/;True;True;2024-06-07 00:00:00;2025-06-23 23:59:59;False;False;False;False;False;False;True;True;0;658
ÇANKIRI KARATEKİN ÜNİVERSİTESİ;www.karatekin.edu.tr;True;True;2025-05-15 05:01:45;2025-08-13 05:01:44;False;False;False;False;False;False;True;True;0;1778
ÇUKUROVA ÜNİVERSİTESİ;www.cu.edu.tr;True;True;2024-10-04 14:15:55;2025-11-05 14:15:54;True;False;True;True;False;False;False;True;3;1215
DEMİROĞLU BİLİM ÜNİVERSİTESİ;http://www.demiroglu.bilim.edu. tr;False;False;;;False;False;False;False;False;True;True;True;0;0
DİCLE ÜNİVERSİTESİ;www.dicle.edu.tr;True;True;2025-05-05 12:25:07;2026-05-05 12:25:07;False;False;False;False;False;False;True;True;0;1059
DOĞUŞ ÜNİVERSİTESİ;http://www.dogus.edu.tr;True;True;2024-08-03 08:27:26;2025-08-19 06:45:38;True;False;True;True;True;False;False;True;4;995
DOKUZ EYLÜL ÜNİVERSİTESİ;http://www.deu.edu.tr;True;True;2024-05-17 00:00:00;2025-06-17 23:59:59;False;False;False;False;False;False;True;True;0;6
DÜZCE ÜNİVERSİTESİ;http://www.duzce.edu.tr/;True;True;2025-04-09 00:00:00;2026-05-10 23:59:59;False;False;False;False;False;False;True;True;0;618
EGE ÜNİVERSİTESİ;http://www.ege.edu.tr;True;True;2024-05-31 00:00:00;2025-05-31 23:59:59;False;False;False;False;False;False;True;True;0;1100
ERCİYES ÜNİVERSİTESİ;http://www.erciyes.edu.tr;True;True;2024-07-03 00:00:00;2025-08-03 23:59:59;False;False;True;False;False;False;True;True;1;1689
ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ;http://www.ebyu.edu.tr;True;True;2024-10-01 00:00:00;2025-09-08 23:59:59;False;False;False;False;False;False;True;True;0;1979
ERZURUM TEKNİK ÜNİVERSİTESİ;http://www.erzurum.edu.tr/;True;True;2025-04-03 07:06:32;2025-07-02 07:06:31;False;False;False;False;False;False;True;True;0;905
ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ;http://www.ogu.edu.tr;True;True;2024-07-04 00:00:00;2025-08-02 23:59:59;False;False;False;False;False;False;True;True;0;582
ESKİŞEHİR TEKNİK ÜNİVERSİTESİ;https://www.eskisehir.edu.tr/;True;True;2024-06-11 11:32:44;2025-06-11 11:32:44;True;False;False;False;False;False;True;True;1;1530
FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ;www.fsm.edu.tr;True;True;2025-03-21 08:53:29;2026-04-22 08:53:28;False;False;False;False;False;False;True;True;0;1867
FENERBAHÇE ÜNİVERSİTESİ;www.fbu.edu.tr;True;True;2024-11-14 00:00:00;2025-11-14 23:59:59;False;False;False;False;False;False;True;True;0;8
FIRAT ÜNİVERSİTESİ;http://www.firat.edu.tr/;True;True;2024-12-06 00:00:00;2026-01-05 23:59:59;False;False;False;False;False;False;True;True;0;0
GALATASARAY ÜNİVERSİTESİ;http://www.gsu.edu.tr;True;True;2025-03-17 00:00:00;2026-04-15 23:59:59;True;False;True;False;False;False;True;True;2;1078
GAZİ ÜNİVERSİTESİ;http://gazi.edu.tr/;True;True;2024-12-08 09:51:33;2026-01-09 09:51:32;True;True;True;True;True;False;False;False;5;0
GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ;http://www.gibtu.edu.tr/;True;True;2024-05-29 11:42:41;2025-06-30 11:42:40;True;False;True;False;False;False;True;True;2;2390
GAZİANTEP ÜNİVERSİTESİ;http://www.gantep.edu.tr;True;True;2025-03-11 00:00:00;2026-03-12 23:59:59;True;True;True;False;False;False;True;False;3;1129
GEBZE TEKNİK ÜNİVERSİTESİ;www.gtu.edu.tr;True;True;2025-05-13 06:36:46;2026-05-13 06:36:46;False;False;False;False;False;False;True;True;0;706
GİRESUN ÜNİVERSİTESİ;http://www.giresun.edu.tr/;True;True;2024-12-23 00:00:00;2025-12-22 23:59:59;False;False;False;False;False;False;True;True;0;1321
GÜMÜŞHANE ÜNİVERSİTESİ;http://www.gumushane.edu.tr;True;True;2024-10-09 00:00:00;2025-10-08 23:59:59;False;False;False;False;False;False;True;True;0;1153
HACETTEPE ÜNİVERSİTESİ;http://hacettepe.edu.tr;True;True;2024-08-02 00:00:00;2025-09-02 23:59:59;True;False;False;False;False;False;True;True;1;700
HAKKARİ ÜNİVERSİTESİ;www.hakkari.edu.tr / www.hu.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;0
HALİÇ ÜNİVERSİTESİ;www.halic.edu.tr;True;True;2024-12-26 12:52:45;2026-01-27 12:52:44;True;True;True;True;False;False;False;False;4;277
HARRAN ÜNİVERSİTESİ;http://www.harran.edu.tr/;True;True;2024-05-06 00:00:00;2025-06-06 23:59:59;False;False;False;False;False;False;True;True;0;1004
HASAN KALYONCU ÜNİVERSİTESİ;www.hku.edu.tr;True;True;2025-05-17 13:12:43;2025-08-15 13:12:42;False;False;False;False;False;False;True;True;0;8
HATAY MUSTAFA KEMAL ÜNİVERSİTESİ;http://www.mku.edu.tr;True;True;2024-11-28 00:00:00;2025-12-29 23:59:59;False;False;False;False;False;False;True;True;0;1119
HİTİT ÜNİVERSİTESİ;http://www.hitit.edu.tr/;True;True;2024-11-25 00:00:00;2025-11-25 23:59:59;True;False;False;False;False;False;True;True;1;1565
IĞDIR ÜNİVERSİTESİ;http://www.igdir.edu.tr;True;True;2025-04-06 19:20:24;2025-07-05 19:20:23;False;False;False;False;False;False;True;True;0;1259
ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ;https://isparta.edu.tr/;True;True;2025-01-21 00:00:00;2026-02-01 23:59:59;False;False;True;False;False;False;True;True;1;585
IŞIK ÜNİVERSİTESİ;http://www.isikun.edu.tr/;True;True;2024-11-04 00:00:00;2025-11-07 23:59:59;False;False;True;True;False;False;False;True;2;789
İBN HALDUN ÜNİVERSİTESİ;www.ihu.edu.tr;True;True;2024-06-28 07:26:29;2025-07-30 07:26:29;False;False;False;False;False;False;True;True;0;0
İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ;http://www.bilkent.edu.tr/;True;True;2024-07-31 00:00:00;2025-08-13 23:59:59;False;False;False;False;False;False;True;True;0;699
İNÖNÜ ÜNİVERSİTESİ;http://www.inonu.edu.tr/;False;False;;;False;False;False;False;False;True;True;True;0;0
İSKENDERUN TEKNİK ÜNİVERSİTESİ;www.iste.edu.tr;True;True;2025-01-16 00:00:00;2026-01-08 23:59:59;False;False;True;True;False;False;False;True;2;814
İSTANBUL AREL ÜNİVERSİTESİ;http://www.arel.edu.tr;True;True;2024-05-21 00:00:00;2025-05-27 23:59:59;False;False;False;False;False;False;True;True;0;2687
İSTANBUL ATLAS ÜNİVERSİTESİ;www.atlas.edu.tr;True;True;2024-06-10 00:00:00;2025-07-09 23:59:59;False;False;False;False;False;False;True;True;0;1489
İSTANBUL AYDIN ÜNİVERSİTESİ;http://www.aydin.edu.tr;True;True;2025-05-13 09:43:52;2025-08-11 10:43:48;False;False;True;True;True;False;False;True;3;16
İSTANBUL BEYKENT ÜNİVERSİTESİ;www.beykent.edu.tr;True;True;2025-01-05 12:48:36;2026-01-05 11:49:12;True;False;True;True;True;False;False;True;4;1052
İSTANBUL BİLGİ ÜNİVERSİTESİ;www.bilgi.edu.tr;True;True;2024-09-26 00:00:00;2025-09-26 23:59:59;True;True;True;True;True;False;False;False;5;1459
İSTANBUL ESENYURT ÜNİVERSİTESİ;http://www.esenyurt.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;0
İSTANBUL GALATA ÜNİVERSİTESİ;www.galata.edu.tr;True;True;2025-03-03 22:55:12;2025-06-01 22:55:11;False;False;False;False;False;False;True;True;0;2682
İSTANBUL GEDİK ÜNİVERSİTESİ;www.gedik.edu.tr;True;True;2025-05-10 11:50:50;2025-08-08 12:49:00;False;False;False;False;False;False;True;True;0;1285
İSTANBUL GELİŞİM ÜNİVERSİTESİ;www.gelisim.edu.tr;True;True;2025-01-14 00:00:00;2025-12-25 23:59:59;False;False;True;False;False;False;True;True;1;0
İSTANBUL KENT ÜNİVERSİTESİ;www.kent.edu.tr;True;True;2024-06-28 00:00:00;2025-06-27 23:59:59;True;False;False;False;False;False;True;True;1;3694
İSTANBUL KÜLTÜR ÜNİVERSİTESİ;www.iku.edu.tr;True;True;2024-08-08 00:00:00;2025-08-29 23:59:59;False;False;False;True;False;False;True;True;1;997
İSTANBUL MEDENİYET ÜNİVERSİTESİ;http://www.medeniyet.edu.tr;True;True;2024-11-18 00:00:00;2025-12-01 23:59:59;False;False;True;False;False;False;True;True;1;1496
İSTANBUL MEDİPOL ÜNİVERSİTESİ;www.medipol.edu.tr;True;True;2025-03-31 10:33:55;2025-06-29 11:33:49;False;False;True;True;False;False;False;True;2;1604
İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ;http://www.nisantasi.edu.tr;True;True;2025-04-21 20:33:01;2025-07-20 21:31:45;False;False;True;False;False;False;True;True;1;920
İSTANBUL OKAN ÜNİVERSİTESİ;www.okan.edu.tr;True;True;2025-05-08 07:29:36;2026-06-09 07:29:35;False;False;False;False;False;False;True;True;0;2680
İSTANBUL RUMELİ ÜNİVERSİTESİ;www.rumeli.edu.tr;True;True;2025-05-02 22:16:40;2025-07-31 23:16:35;True;False;True;True;True;False;False;True;4;44
İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ;http://www.izu.edu.tr/;True;True;2024-12-19 00:00:00;2025-12-18 23:59:59;False;False;False;False;False;False;True;True;0;1513
İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU;www.issb.edu.tr;True;True;2025-03-28 23:00:05;2025-06-27 00:00:03;False;False;True;True;False;False;False;True;2;992
İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ;www.istun.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;0
İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU;www.sisli.edu.tr;True;True;2025-02-06 00:00:00;2026-02-06 23:59:59;False;False;False;False;False;False;True;True;0;1137
İSTANBUL TEKNİK ÜNİVERSİTESİ;http://www.itu.edu.tr;True;True;2024-07-18 00:00:00;2025-08-18 23:59:59;True;False;True;True;True;False;False;True;4;1025
İSTANBUL TİCARET ÜNİVERSİTESİ;http://www.ticaret.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;0
İSTANBUL TOPKAPI ÜNİVERSİTESİ;www.topkapi.edu.tr;True;True;2024-05-03 07:02:10;2025-06-04 07:02:09;False;False;False;False;False;False;True;True;0;1477
İSTANBUL ÜNİVERSİTESİ;http://www.istanbul.edu.tr;True;True;2024-05-10 00:00:00;2025-06-10 23:59:59;True;False;False;True;False;False;True;True;2;33
İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA;https://iuc.edu.tr;True;True;2025-01-23 12:43:57;2026-01-23 12:43:57;False;False;True;True;False;False;False;True;2;46
İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ;www.yeniyuzyil.edu.tr;True;True;2024-12-20 00:00:00;2026-01-19 23:59:59;True;False;False;False;False;False;True;True;1;975
İSTANBUL 29 MAYIS ÜNİVERSİTESİ;http://www.29mayis.edu.tr;True;True;2025-03-10 00:00:00;2026-03-26 23:59:59;True;False;True;False;False;False;True;True;2;886
İSTİNYE ÜNİVERSİTESİ;www.istinye.edu.tr;True;True;2024-11-08 00:00:00;2025-09-23 23:59:59;False;False;True;True;False;False;False;True;2;1619
İZMİR BAKIRÇAY ÜNİVERSİTESİ;bakircay.edu.tr;True;True;2024-09-02 00:00:00;2025-10-03 23:59:59;False;False;False;False;False;False;True;True;0;785
İZMİR DEMOKRASİ ÜNİVERSİTESİ;http://www.idu.edu.tr;True;True;2024-10-21 11:38:28;2025-10-21 11:38:28;False;False;False;False;False;False;True;True;0;798
İZMİR EKONOMİ ÜNİVERSİTESİ;www.ieu.edu.tr;True;True;2025-03-13 08:03:45;2026-04-03 10:10:16;False;False;False;False;False;False;True;True;0;1763
İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ;http://www.ikc.edu.tr/;True;True;2024-08-05 00:00:00;2025-08-05 23:59:59;False;False;False;False;False;False;True;True;0;1333
İZMİR KAVRAM MESLEK YÜKSEKOKULU;www.kavram.edu.tr;True;True;2025-01-16 08:03:35;2026-02-17 08:03:35;True;False;True;True;True;False;False;True;4;1197
İZMİR TINAZTEPE ÜNİVERSİTESİ;www.tinaztepe.edu.tr;True;True;2024-09-26 00:00:00;2025-09-26 23:59:59;False;False;False;False;False;False;True;True;0;0
İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ;http://www.iyte.edu.tr/;False;False;;;False;False;False;False;False;True;True;True;0;0
KADİR HAS ÜNİVERSİTESİ;http://www.khas.edu.tr;True;True;2024-07-02 00:00:00;2025-07-24 23:59:59;False;False;False;False;False;False;True;True;0;1256
KAFKAS ÜNİVERSİTESİ;http://www.kafkas.edu.tr;True;True;2024-06-10 00:00:00;2025-06-09 23:59:59;False;False;False;False;False;False;True;True;0;1493
KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ;www.istiklal.edu.tr;True;True;2024-07-25 09:02:04;2025-07-25 09:02:04;False;False;False;False;False;False;True;True;0;35
KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ;www.ksu.edu.tr;True;True;2025-04-07 00:00:00;2026-05-08 23:59:59;False;False;False;False;False;False;True;True;0;1445
KAPADOKYA ÜNİVERSİTESİ;www.kapadokya.edu.tr;True;True;2025-04-12 06:48:24;2025-07-11 06:48:23;False;False;True;False;False;False;True;True;1;972
KARABÜK ÜNİVERSİTESİ;http://www.karabuk.edu.tr/;True;True;2025-03-06 00:00:00;2026-04-05 23:59:59;True;False;False;False;False;False;True;True;1;1465
KARADENİZ TEKNİK ÜNİVERSİTESİ;http://www.ktu.edu.tr;True;True;2024-08-06 00:00:00;2025-09-06 23:59:59;True;True;True;True;True;False;False;False;5;2450
KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ;http://www.kmu.edu.tr;True;True;2024-09-20 00:00:00;2025-10-21 23:59:59;False;False;False;False;False;False;True;True;0;1242
KASTAMONU ÜNİVERSİTESİ;http://www.kastamonu.edu.tr/ind ex.php/tr/;True;True;2024-06-13 00:00:00;2025-05-24 23:59:59;False;False;False;False;False;False;True;True;0;0
KAYSERİ ÜNİVERSİTESİ;http://www.kayseri.edu.tr;True;True;2024-07-18 00:00:00;2025-07-31 23:59:59;False;False;True;False;False;False;True;True;1;1931
KIRIKKALE ÜNİVERSİTESİ;http://kku.edu.tr;True;True;2024-09-18 00:00:00;2025-10-18 23:59:59;True;False;False;False;False;False;True;True;1;2350
KIRKLARELİ ÜNİVERSİTESİ;http://www.klu.edu.tr/;True;True;2024-06-04 00:00:00;2025-06-03 23:59:59;False;False;False;False;False;False;True;True;0;1342
KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ;www.ahievran.edu.tr;True;True;2025-05-13 00:00:00;2026-06-13 23:59:59;True;False;True;True;True;False;False;True;4;1051
KİLİS 7 ARALIK ÜNİVERSİTESİ;www.kilis.edu.tr;True;True;2024-07-17 13:52:11;2025-07-17 13:52:11;False;False;False;False;False;False;True;True;0;1108
KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ;www.kocaelisaglik.edu.tr;True;True;2024-10-24 00:00:00;2025-10-24 23:59:59;False;False;False;False;False;False;True;True;0;1129
KOCAELİ ÜNİVERSİTESİ;http://www.kocaeli.edu.tr/;False;False;;;False;False;False;False;False;True;True;True;0;0
KOÇ ÜNİVERSİTESİ;http://www.ku.edu.tr;True;True;2025-01-16 00:00:00;2026-02-14 23:59:59;False;False;False;False;False;False;True;True;0;13
KONYA GIDA VE TARIM ÜNİVERSİTESİ;http://www.gidatarim.edu.tr/;True;True;2024-11-11 00:00:00;2025-12-12 23:59:59;False;False;False;False;False;False;True;True;0;455
KONYA TEKNİK ÜNİVERSİTESİ;http://www.ktun.edu.tr/;True;True;2024-12-11 00:00:00;2025-10-30 23:59:59;False;False;True;False;False;False;True;True;1;1140
KTO KARATAY ÜNİVERSİTESİ;http://www.karatay.edu.tr;True;True;2025-05-02 14:50:16;2025-07-31 15:49:55;False;False;False;False;False;False;True;True;0;887
KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ;http://dpu.edu.tr;True;True;2024-11-05 00:00:00;2025-12-06 23:59:59;False;False;False;False;False;False;True;True;0;1688
KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ;http://www.ksbu.edu.tr/;True;True;2024-09-12 00:00:00;2025-09-14 23:59:59;False;False;False;False;False;False;True;True;0;1677
LOKMAN HEKİM ÜNİVERSİTESİ;www.lokmanhekim.edu.tr;True;True;2024-11-08 00:00:00;2025-11-07 23:59:59;False;False;False;False;False;False;True;True;0;999
MALATYA TURGUT ÖZAL ÜNİVERSİTESİ;www.ozal.edu.tr;False;False;;;False;False;False;False;False;True;True;True;0;0
MALTEPE ÜNİVERSİTESİ;http://www.maltepe.edu.tr/;True;True;2025-05-17 15:37:22;2025-08-15 16:35:55;False;False;False;False;False;False;True;True;0;1436
MANİSA CELÂL BAYAR ÜNİVERSİTESİ;www.cbu.edu.tr;True;True;2025-05-17 05:22:22;2025-08-15 05:22:21;True;False;False;False;False;False;True;True;1;1
MARDİN ARTUKLU ÜNİVERSİTESİ;http://www.artuklu.edu.tr/;True;True;2024-05-31 00:00:00;2025-05-27 23:59:59;True;False;False;False;False;False;True;True;1;2247
MARMARA ÜNİVERSİTESİ;http://www.marmara.edu.tr;True;True;2024-08-13 00:00:00;2025-08-17 23:59:59;False;True;True;True;False;False;False;True;3;1710
MEF ÜNİVERSİTESİ;www.mef.edu.tr;True;True;2025-05-12 13:49:50;2025-08-10 13:49:49;True;False;False;False;False;False;True;True;1;1025
MERSİN ÜNİVERSİTESİ;http://www.mersin.edu.tr/idari/g enel-sekreterlik;True;True;2025-02-18 00:00:00;2026-03-21 23:59:59;False;False;False;False;False;False;True;True;0;2861
